Name,Type,Value_0,Value_1,Value_2,Value_3,Value_4,Threshold,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44,Value_45,Value_46,Value_47,Value_48,Value_49
List_0,stdList,92,50.0,65.0,86.0,75.0,30.196057693808733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_1,stdList,76,93.0,55.0,71.0,42.0,37.8329915390299,96.0,50.0,4.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_2,meanList,78,39.0,2.0,51.0,88.0,42.9015819169828,41.0,10.0,13.0,11.0,50.0,18.0,73.0,12.0,24.0,70.0,51.0,28.0,11.0,19.0,96.0,45.0,14.0,32.0,45.0,49.0,55.0,10.0,75.0,19.0,38.0,46.0,47.0,78.0,7.0,13.0,66.0,28.0,44.0,87.0,74.0,59.0,35.0,93.0,44.0,60.0,,,,,
List_3,stdList,3,62.0,10.0,46.0,39.0,-1428.622568619034,10.0,4.0,24.0,38.0,18.0,57.0,99.0,25.0,67.0,28.0,75.0,16.0,50.0,68.0,6.0,8.0,98.0,56.0,31.0,91.0,1.0,68.0,36.0,34.0,48.0,,,,,,,,,,,,,,,,,,,,
List_4,meanList,97,51.0,5.0,72.0,84.0,13.753964873494729,70.0,68.0,91.0,85.0,13.0,72.0,33.0,29.0,67.0,82.0,8.0,92.0,49.0,36.0,31.0,73.0,81.0,54.0,51.0,72.0,20.0,52.0,20.0,16.0,79.0,79.0,72.0,78.0,99.0,18.0,24.0,86.0,2.0,70.0,35.0,77.0,75.0,35.0,93.0,,,,,,
List_5,meanList,75,41.0,22.0,26.0,82.0,13.80350201809913,85.0,74.0,5.0,37.0,86.0,17.0,53.0,63.0,97.0,80.0,30.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_6,stdList,64,62.0,98.0,34.0,40.0,-7.174190096393927,24.0,41.0,87.0,50.0,58.0,79.0,76.0,8.0,3.0,46.0,43.0,98.0,3.0,42.0,79.0,85.0,61.0,75.0,40.0,13.0,30.0,18.0,89.0,21.0,21.0,89.0,76.0,85.0,29.0,67.0,71.0,68.0,50.0,33.0,51.0,63.0,79.0,98.0,,,,,,,
List_7,stdList,79,94.0,70.0,77.0,30.0,-2.303143773294222,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_8,meanList,12,73.0,13.0,8.0,9.0,-24.197778249305685,72.0,66.0,58.0,92.0,29.0,1.0,16.0,68.0,82.0,42.0,15.0,88.0,21.0,77.0,74.0,84.0,70.0,13.0,38.0,59.0,48.0,41.0,55.0,68.0,24.0,74.0,86.0,51.0,78.0,14.0,66.0,14.0,25.0,75.0,79.0,45.0,73.0,15.0,68.0,56.0,26.0,,,,
List_9,meanList,85,49.0,68.0,70.0,39.0,1381.85932765741,81.0,32.0,2.0,99.0,33.0,97.0,70.0,24.0,70.0,5.0,5.0,65.0,76.0,37.0,10.0,89.0,42.0,2.0,22.0,73.0,69.0,51.0,29.0,93.0,29.0,32.0,74.0,25.0,93.0,47.0,62.0,49.0,12.0,50.0,15.0,,,,,,,,,,
List_10,meanList,63,70.0,3.0,28.0,21.0,-3.737425327029015,54.0,100.0,74.0,28.0,1.0,2.0,27.0,38.0,72.0,74.0,95.0,49.0,53.0,94.0,65.0,82.0,40.0,63.0,6.0,71.0,80.0,90.0,2.0,55.0,3.0,92.0,63.0,55.0,81.0,51.0,100.0,10.0,13.0,,,,,,,,,,,,
List_11,stdList,5,56.0,,,,29.468500520839754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_12,sumList,19,80.0,94.0,68.0,11.0,-1.0879305985489884,94.0,25.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_13,stdList,97,49.0,46.0,35.0,62.0,-24.4865311171106,79.0,99.0,30.0,24.0,41.0,99.0,94.0,89.0,14.0,54.0,78.0,98.0,54.0,78.0,22.0,45.0,46.0,90.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
List_14,sumList,15,29.0,12.0,90.0,84.0,0.17786272737942857,22.0,63.0,65.0,59.0,15.0,5.0,87.0,1.0,8.0,21.0,90.0,4.0,15.0,70.0,48.0,93.0,99.0,14.0,86.0,95.0,96.0,86.0,28.0,37.0,25.0,53.0,95.0,32.0,14.0,74.0,18.0,,,,,,,,,,,,,,
