Name,Type,Threshold,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44,Value_45,Value_46,Value_47,Value_48,Value_49
List_0,stdList,30.19605769,92,50,65,86,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_1,stdList,37.83299154,76,93,55,71,42,96,50,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_2,meanList,42.90158192,78,39,2,51,88,41,10,13,11,50,18,73,12,24,70,51,28,11,19,96,45,14,32,45,49,55,10,75,19,38,46,47,78,7,13,66,28,44,87,74,59,35,93,44,60,,,,,
List_3,stdList,-1428.622569,3,62,10,46,39,10,4,24,38,18,57,99,25,67,28,75,16,50,68,6,8,98,56,31,91,1,68,36,34,48,,,,,,,,,,,,,,,,,,,,
List_4,meanList,13.75396487,97,51,5,72,84,70,68,91,85,13,72,33,29,67,82,8,92,49,36,31,73,81,54,51,72,20,52,20,16,79,79,72,78,99,18,24,86,2,70,35,77,75,35,93,,,,,,
List_5,meanList,13.80350202,75,41,22,26,82,85,74,5,37,86,17,53,63,97,80,30,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_6,stdList,-7.174190096,64,62,98,34,40,24,41,87,50,58,79,76,8,3,46,43,98,3,42,79,85,61,75,40,13,30,18,89,21,21,89,76,85,29,67,71,68,50,33,51,63,79,98,,,,,,,
List_7,stdList,-2.303143773,79,94,70,77,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_8,meanList,-24.19777825,12,73,13,8,9,72,66,58,92,29,1,16,68,82,42,15,88,21,77,74,84,70,13,38,59,48,41,55,68,24,74,86,51,78,14,66,14,25,75,79,45,73,15,68,56,26,,,,
List_9,meanList,1381.859328,85,49,68,70,39,81,32,2,99,33,97,70,24,70,5,5,65,76,37,10,89,42,2,22,73,69,51,29,93,29,32,74,25,93,47,62,49,12,50,15,,,,,,,,,,
List_10,meanList,-3.737425327,63,70,3,28,21,54,100,74,28,1,2,27,38,72,74,95,49,53,94,65,82,40,63,6,71,80,90,2,55,3,92,63,55,81,51,100,10,13,,,,,,,,,,,,
List_11,stdList,29.46850052,5,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
List_12,sumList,-1.087930599,19,80,94,68,11,94,25,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_13,stdList,-24.48653112,97,49,46,35,62,79,99,30,24,41,99,94,89,14,54,78,98,54,78,22,45,46,90,50,,,,,,,,,,,,,,,,,,,,,,,,,,
List_14,sumList,0.177862727,15,29,12,90,84,22,63,65,59,15,5,87,1,8,21,90,4,15,70,48,93,99,14,86,95,96,86,28,37,25,53,95,32,14,74,18,,,,,,,,,,,,,,
List_15,meanList,-81.3845016,74,64,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_16,meanList,331.6910139,47,76,84,51,61,80,21,71,70,7,14,15,25,45,50,68,40,5,11,30,48,41,13,45,41,83,89,18,16,73,85,76,,,,,,,,,,,,,,,,,,
List_17,sumList,-18.75416496,31,28,42,9,40,54,46,99,49,90,71,1,50,82,99,47,57,47,72,61,37,34,75,98,37,73,83,2,,,,,,,,,,,,,,,,,,,,,,
List_18,sumList,44.12130319,62,55,93,37,51,43,51,7,41,32,78,11,90,43,24,5,42,62,42,46,29,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_19,stdList,24.99680908,77,26,46,64,35,50,11,23,84,53,43,71,58,68,47,76,31,94,97,34,64,23,17,97,,,,,,,,,,,,,,,,,,,,,,,,,,
List_20,stdList,1.473010792,17,28,37,41,42,8,76,91,53,59,48,24,34,67,72,23,45,61,62,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_21,stdList,41.09292331,58,72,38,98,62,41,62,48,41,89,73,9,15,40,4,75,11,56,56,100,85,28,47,89,52,68,24,73,2,73,27,8,2,18,78,35,89,62,88,20,33,18,22,85,86,26,50,,,
List_22,meanList,-22.05296083,80,22,64,80,47,39,42,64,31,6,79,98,40,89,50,64,48,83,4,11,87,64,28,47,6,,,,,,,,,,,,,,,,,,,,,,,,,
List_23,meanList,-4.133938107,66,31,34,89,83,70,86,52,73,69,80,86,17,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_24,sumList,22.20720264,87,59,6,10,12,35,84,9,44,23,4,59,97,59,3,9,60,23,55,1,59,99,62,14,6,56,32,6,95,41,86,13,2,17,11,65,10,74,76,90,53,24,,,,,,,,
List_25,meanList,1135.186054,96,65,28,57,13,57,71,67,19,64,26,94,46,24,90,85,54,49,55,94,73,89,67,90,31,88,94,6,35,2,60,76,10,15,15,61,58,,,,,,,,,,,,,
List_26,stdList,-13.68489884,93,6,3,64,46,74,61,17,56,77,60,20,88,19,37,25,60,37,51,53,35,24,13,41,79,45,49,63,13,2,31,67,85,95,31,99,,,,,,,,,,,,,,
List_27,sumList,-907.7399182,88,27,8,15,82,18,23,98,25,59,83,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_28,stdList,-1420.845172,53,4,27,98,63,24,48,45,34,33,85,54,46,22,80,82,1,99,68,28,19,37,79,93,62,64,43,38,83,68,58,54,100,,,,,,,,,,,,,,,,,
List_29,meanList,-0.201700734,100,31,31,39,54,47,69,47,61,9,79,41,84,22,12,64,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_30,stdList,185.6325036,99,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_31,stdList,-6.944360963,87,71,89,80,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_32,meanList,1429.939833,63,76,20,45,13,77,43,22,84,64,88,78,80,86,98,81,77,43,19,36,11,16,86,10,94,12,32,49,40,3,78,81,24,92,27,4,93,34,55,34,74,87,74,37,,,,,,
List_33,stdList,0.181649278,42,42,27,53,100,54,26,16,16,71,91,8,58,88,38,6,31,36,63,97,92,27,74,62,72,50,83,37,74,63,68,2,8,,,,,,,,,,,,,,,,,
List_34,meanList,47.64750842,40,90,33,87,5,89,4,19,79,8,10,50,54,44,54,97,4,16,88,1,33,56,75,1,6,78,17,43,2,47,88,53,4,27,74,,,,,,,,,,,,,,,
List_35,meanList,2035.316872,79,84,31,33,87,62,49,37,38,41,32,43,5,65,87,79,12,41,32,47,98,49,62,38,7,27,81,1,81,,,,,,,,,,,,,,,,,,,,,
List_36,sumList,41.48413694,18,75,55,44,14,95,30,47,93,33,30,16,1,96,39,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_37,meanList,143.9180197,90,53,69,84,88,96,5,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_38,stdList,-356.6157075,77,57,48,78,50,9,80,73,59,39,44,19,24,58,9,66,79,72,81,51,7,84,56,49,24,48,69,48,1,,,,,,,,,,,,,,,,,,,,,
List_39,stdList,4.657088343,28,7,24,97,37,33,66,56,63,4,81,14,88,6,48,52,28,89,12,24,70,10,75,33,32,69,88,69,65,30,41,96,52,9,70,77,,,,,,,,,,,,,,
List_40,meanList,14.24516154,12,97,9,43,38,82,71,35,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_41,stdList,300.5669615,89,26,79,52,1,17,58,26,18,45,49,83,100,40,30,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_42,sumList,35.6399591,83,74,29,93,89,55,40,73,71,88,55,95,58,76,70,74,68,58,89,59,3,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_43,stdList,1426.536686,57,36,39,91,16,72,17,47,2,22,84,13,2,15,55,37,46,54,86,69,68,15,44,91,27,14,33,57,62,64,44,86,49,67,,,,,,,,,,,,,,,,
List_44,meanList,134.17675,53,9,61,45,71,5,66,41,75,63,96,14,40,43,14,45,23,29,59,54,48,5,5,8,80,38,66,44,68,3,71,66,63,20,8,43,,,,,,,,,,,,,,
List_45,sumList,2.095174632,51,30,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_46,meanList,-75.07524144,42,84,13,98,57,95,10,76,11,38,70,35,90,56,32,17,56,70,80,36,25,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_47,meanList,18.49117875,61,33,96,94,56,96,29,76,65,33,74,26,30,77,6,35,90,6,22,62,94,23,52,72,61,46,5,68,33,36,17,43,18,17,68,58,44,100,,,,,,,,,,,,
List_48,meanList,41.69512446,57,77,37,62,63,72,6,88,77,37,28,80,85,68,63,99,66,72,26,29,4,69,65,19,14,59,57,52,70,51,,,,,,,,,,,,,,,,,,,,
List_49,meanList,-142.0911024,95,37,91,5,67,56,70,85,96,23,47,80,53,41,78,78,5,82,64,90,70,6,97,31,99,92,66,100,44,67,94,56,94,85,27,80,92,72,99,85,94,42,88,65,,,,,,
List_50,stdList,21.73380887,54,4,47,63,64,2,95,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_51,sumList,4005.735541,6,76,98,73,16,91,58,61,70,89,79,19,24,23,43,31,79,61,16,45,4,15,33,38,10,85,29,32,68,51,10,97,63,44,4,45,49,26,79,84,31,28,85,45,48,40,10,50,,
List_52,stdList,1.570595358,21,97,50,55,27,17,15,26,91,1,69,23,46,5,16,13,84,98,70,95,19,5,40,13,29,92,67,31,70,59,27,13,,,,,,,,,,,,,,,,,,
List_53,sumList,279.1627171,64,21,86,94,31,53,83,92,24,50,35,90,58,22,5,76,72,42,92,96,61,86,6,22,16,45,48,37,5,49,28,87,67,71,5,68,80,17,51,32,11,8,88,81,20,62,69,21,32,
List_54,meanList,1559.669043,42,68,31,30,65,69,66,60,23,44,1,32,4,5,74,98,8,69,93,68,100,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_55,stdList,1198.132509,9,53,79,75,87,6,66,47,49,74,69,46,49,24,63,28,54,44,73,74,39,32,54,18,36,95,6,,,,,,,,,,,,,,,,,,,,,,,
List_56,sumList,-15.76650574,34,51,47,88,62,27,38,74,48,55,27,26,59,85,92,69,61,58,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_57,stdList,29.64569008,57,33,66,25,12,18,36,84,92,57,43,4,79,94,58,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_58,sumList,-31.09067797,48,84,14,67,60,73,35,49,7,93,36,87,25,88,15,26,59,82,68,99,71,4,36,41,32,22,45,89,8,2,92,46,33,15,81,96,5,47,97,49,33,62,20,39,46,66,61,,,
List_59,stdList,3.867166847,94,41,48,60,98,41,9,96,76,11,29,18,55,63,76,96,21,53,84,28,21,90,16,34,100,66,64,45,68,49,51,,,,,,,,,,,,,,,,,,,
List_60,meanList,17.78839768,23,59,75,75,68,78,82,82,55,94,19,98,26,49,29,73,66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_61,meanList,100.9729349,55,38,5,34,68,35,43,77,67,91,54,89,77,49,11,19,75,91,75,64,9,22,33,95,69,56,28,69,31,90,73,69,80,100,55,,,,,,,,,,,,,,,
List_62,stdList,26.36654063,26,25,10,62,70,26,45,67,100,80,33,33,55,11,24,66,92,27,78,10,95,8,45,63,64,81,70,73,,,,,,,,,,,,,,,,,,,,,,
List_63,stdList,12.1178298,82,47,89,55,41,97,39,66,74,87,70,67,87,22,73,41,51,22,42,65,53,54,5,82,42,57,23,90,49,61,49,49,75,65,1,44,28,,,,,,,,,,,,,
List_64,stdList,312.5329345,13,39,69,22,67,44,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_65,stdList,1321.128609,74,64,29,96,35,53,7,95,58,14,25,20,8,15,92,19,60,71,68,26,43,98,18,93,91,1,66,71,22,7,85,74,10,49,28,21,37,35,72,9,,,,,,,,,,
List_66,meanList,41.08173237,33,88,24,26,52,47,76,50,4,35,83,36,83,75,22,75,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_67,stdList,770.6072324,27,86,23,29,16,73,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_68,meanList,448.0036578,81,59,64,94,29,20,8,67,20,35,41,75,41,12,47,35,13,20,51,49,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_69,sumList,967.9213266,5,40,81,56,20,52,93,62,29,83,31,76,55,69,71,89,39,97,61,40,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_70,sumList,-1287.505309,94,19,80,5,66,28,27,72,53,25,45,42,46,80,43,43,84,77,86,17,43,31,38,96,90,89,54,,,,,,,,,,,,,,,,,,,,,,,
List_71,meanList,78.90525201,82,54,5,48,23,37,95,95,32,87,62,7,63,12,73,9,66,36,59,20,78,36,9,100,24,29,70,56,43,86,42,49,97,43,42,82,97,66,2,44,,,,,,,,,,
List_72,sumList,-0.807427468,49,13,18,66,98,70,94,49,81,6,24,50,45,68,1,78,67,52,29,46,11,8,36,30,7,44,23,29,6,82,82,85,40,72,66,30,5,28,72,64,,,,,,,,,,
List_73,stdList,48.07557894,38,53,24,100,16,21,12,44,52,52,46,10,8,91,20,97,98,25,4,7,54,8,30,93,100,34,89,,,,,,,,,,,,,,,,,,,,,,,
