Name,Length,Threshold,Value
List_0,5,30.196057693808733,19.527
List_1,9,37.8329915390299,29.477
List_2,45,42.9015819169828,42.509
List_3,2,-1428.622568619034,0.5
List_4,9,13.753964873494729,12.862
List_5,3,13.80350201809913,11.935
List_6,2,-7.174190096393927,0.0
List_7,2,-2.303143773294222,3.5
List_8,2,-24.197778249305685,-11.599
List_9,40,1381.85932765741,81.796
List_10,2,-3.737425327029015,-1.369
List_11,2,29.46850052083975,13.266
List_12,2,-1.0879305985489884,9.912
List_13,2,-24.4865311171106,0.0
List_14,2,0.1778627273794285,1.178
List_15,2,-81.38450159513283,-37.692
List_16,32,331.69101388880426,55.74
List_17,2,-18.754164959438096,-17.754
List_18,4,44.12130319316385,34.0
List_19,23,24.99680907603432,24.126
List_20,3,1.4730107920564282,1.414
List_21,47,41.09292330534024,28.722
List_22,2,-22.05296082881975,-9.026
List_23,2,-4.1339381068162115,6.433
List_24,6,22.207202636498415,22.0
List_25,37,1135.1860535098297,82.789
List_26,2,-13.68489884348142,0.0
List_27,2,-907.7399182192604,-899.74
List_28,2,-1420.8451720972257,0.0
List_29,2,-0.2017007343158599,4.399
List_30,2,185.63250357247352,60.816
List_31,2,-6.944360962984067,0.5
List_32,44,1429.939833059074,84.249
List_33,2,0.181649277826861,0.0
List_34,35,47.647508418462785,42.39
List_35,29,2035.3168723960805,116.701
List_36,3,41.48413693899369,31.0
List_37,8,143.9180196906144,73.865
List_38,2,-356.6157074720313,0.0
List_39,8,4.657088343189343,3.322
List_40,3,14.24516153991662,10.082
List_41,16,300.56696146637506,67.021
List_42,2,35.639959095897325,32.0
List_43,34,1426.5366858090604,234.647
List_44,36,134.17674996732796,45.088
List_45,2,2.0951746322600155,32.095
List_46,2,-75.07524144271856,-32.538
List_47,12,18.49117874726531,18.124
List_48,19,41.69512446197806,41.037
List_49,2,-142.09110244805834,-68.546
List_50,5,21.73380886780988,15.808
List_51,47,4005.73554143872,2255.0
List_52,5,1.5705953579868162,1.265
List_53,16,279.1627170513658,262.0
List_54,22,1559.6690431999732,119.485
List_55,27,1198.132508914218,217.737
List_56,2,-15.766505738962778,10.233
List_57,16,29.645690082494575,28.282
List_58,2,-31.09067797334911,-29.091
List_59,6,3.867166847065016,3.848
List_60,4,17.788397676640667,15.947
List_61,35,100.97293488569824,58.342
List_62,26,26.3665406285433,25.401
List_63,24,12.117829800067645,11.386
List_64,7,312.53293451017294,93.549
List_65,40,1321.1286086848545,201.371
List_66,15,41.081732374402,40.139
List_67,7,770.6072324212197,254.108
List_68,22,448.003657838781,61.455
List_69,17,967.921326559178,930.0
List_70,2,-1287.50530884073,-1282.505
List_71,40,78.9052520075828,51.423
List_72,2,-0.807427468463619,0.193
List_73,27,48.07557894219166,33.09
List_74,2,5.722594121382708,20.723
List_75,2,-84.30882130895131,-74.309
List_76,2,-494.4375591064557,-246.219
List_77,2,-1.6236276115346222,0.0
List_78,2,-4.668684234098797,-1.334
List_79,27,102.87931544421356,34.003
List_80,2,-1481.240073043901,-1477.24
List_81,7,65.14514957653427,55.0
List_82,8,572.8591764510687,129.857
List_83,2,-815.9969876145318,0.0
List_84,24,41.30221943588294,27.359
List_85,2,-10.67485155516824,35.325
List_86,2,-127.65133732287352,-122.651
List_87,20,96.65064838512616,53.983
List_88,7,68.58127765165695,42.369
List_89,45,46.21136538154857,29.708
List_90,2,-3197.517328183778,0.0
List_91,5,38.840924135142856,34.0
List_92,35,282.03370149755534,45.905
List_93,2,-12.705958463899403,-9.706
List_94,6,93.93425703900944,56.322
List_95,4,61.57280291214149,37.0
List_96,2,-47.38639719673809,0.0
List_97,27,36.05515987010656,26.446
List_98,24,37.87506231993349,33.291
List_99,3,169.51881361389695,92.173
List_100,2,-3.433148024434601,42.283
List_101,10,57.87349707528954,48.587
List_102,25,28.46681644491185,27.939
List_103,10,7.190637862066708,6.636
List_104,2,-37.02065476341993,0.0
List_105,6,82.62386107401618,54.0
List_106,7,4.539985281686424,4.422
List_107,2,-13.565184102757712,-0.783
List_108,2,-15.87319200682648,-13.873
List_109,4,31.58588922733354,22.0
List_110,24,110.20402030411228,52.467
List_111,2,-806.4306440551,-800.431
List_112,10,1121.6659607177928,160.567
List_113,42,2533.0452679697178,379.175
List_114,10,127.65146399597845,35.865
List_115,3,82.81143948223834,14.295
List_116,11,39.98374349471928,27.358
List_117,40,1852.661468106812,1806.0
List_118,2,29.52801467826463,55.528
List_119,26,34.40507394674586,29.001
List_120,6,3.6310795553172728,3.403
List_121,19,1117.3580884608414,238.079
List_122,34,1138.881410998958,185.63
