Neighbourhood Number,Friendly Name,Description,geom
2260,Evansdale,"Evansdale is named for H.M.E. Evans, Mayor of Edmonton in 1918. Mr. Evans was also president of the Edmonton Board of Trade in 1916. Although single detached homes account for 90% of the structures in Evansdale, almost 50% of the dwelling units are locat","MULTIPOLYGON (((-113.47970029870794 53.6152271386194, -113.47623664663439 53.61561158319339, -113.4744820422431 53.6158162210957, -113.4731808787134 53.61590027235317, -113.4674204545053 53.61591375444001, -113.46742798260262 53.610538856185805, -113.46743523571406 53.60691755885339, -113.46961818955656 53.60690984975463, -113.47022601929541 53.60689581095175, -113.47086485888067 53.60685578200864, -113.4715850828474 53.606767279197136, -113.47225008266139 53.606645830070825, -113.47373112695321 53.6063652736457, -113.47641979230873 53.6058984811946, -113.47672620998279 53.60585027816153, -113.4779143647951 53.60576846613057, -113.48101443948326 53.605768565180774, -113.48173969843924 53.605811862524945, -113.4824407929969 53.605915397805376, -113.48510468465751 53.606306092276874, -113.48850157059921 53.60679389522115, -113.488933001326 53.606820031912164, -113.49168085687265 53.606784967555676, -113.49170507787457 53.60810574183392, -113.49171395279058 53.61275181411882, -113.49179330220164 53.614032553715944, -113.48966991380574 53.6140237367952, -113.48906656552556 53.61404155038072, -113.48794288078807 53.614190044322235, -113.48600883911077 53.61444001996334, -113.47970029870794 53.6152271386194)))"
2580,Northmount,"Residential land accounts for almost 70 percent of Northmount. Most homes were built during the late 1960s and early 1970s. The dominant structure type is the single detached house. Residents enjoy access to three schools, community league facilities and","MULTIPOLYGON (((-113.48510468465751 53.606306092276874, -113.4824407929969 53.605915397805376, -113.48173969843924 53.605811862524945, -113.48101443948326 53.605768565180774, -113.4779143647951 53.60576846613057, -113.47672620998279 53.60585027816153, -113.47641979230873 53.6058984811946, -113.47373112695321 53.6063652736457, -113.47225008266139 53.606645830070825, -113.4715850828474 53.606767279197136, -113.47086485888067 53.60685578200864, -113.47022601929541 53.60689581095175, -113.46961818955656 53.60690984975463, -113.46743523571406 53.60691755885339, -113.46747438950995 53.60374214071339, -113.4674883253389 53.60105165548197, -113.46740087977119 53.59966119682018, -113.47112427642222 53.59960897044073, -113.4746370048837 53.599557925605126, -113.48090773346027 53.599493134427185, -113.48505612852684 53.599499697863756, -113.49207016255407 53.599497320985, -113.49182053123134 53.601764200395465, -113.49168085687265 53.606784967555676, -113.488933001326 53.606820031912164, -113.48850157059921 53.60679389522115, -113.48510468465751 53.606306092276874)))"
1170,Prince Rupert,Prince Rupert lies within the old Hudson Bay Company land reserve. It was first developed during the post-WWII housing boom. The area's centre is residential with large scale commercial uses to the west and the municipal airport to the east. Kingsway Ave,"MULTIPOLYGON (((-113.51740826792107 53.56462645446043, -113.51230654891363 53.562482971132454, -113.51078609668988 53.56183650887014, -113.5084218068988 53.5608193020514, -113.506571523307 53.560028748713044, -113.50390644639901 53.558900223618345, -113.50658786456457 53.55889503214382, -113.50843165171842 53.55889173318711, -113.51024073606868 53.55889272330056, -113.51215245827466 53.55889088932365, -113.51580004070053 53.55887913997567, -113.52130231500733 53.55888919722284, -113.52685223716504 53.55887501146812, -113.52930214635225 53.5588846771404, -113.53089868175125 53.55889317410196, -113.53089654137493 53.56232733775923, -113.53090708042578 53.56597281324091, -113.53091258785305 53.57013878761887, -113.5309477870182 53.57031399253187, -113.53071990690552 53.570294067526454, -113.53050845487932 53.57024650458562, -113.52994479435021 53.57000974265512, -113.52855684991744 53.56937469485655, -113.52647829067085 53.568487514385616, -113.5211913236799 53.56624542185097, -113.51965490363035 53.56559289629173, -113.51740826792107 53.56462645446043)))"
1230,Spruce Avenue,"Spruce Avenue's central location has attracted Kingsway Garden Mall, The Northern Alberta Institute of Technology and the Municipal Airport. The Glenrose Rehabilitation Hospital (the original Royal Alexandra) was one of Edmonton's largest until its repla","MULTIPOLYGON (((-113.51230654891363 53.562482971132454, -113.50837334981908 53.56413984404153, -113.50561748396768 53.565321486368234, -113.50304695389369 53.5663931708811, -113.50289594238987 53.56706217112694, -113.50292307522493 53.57035975753645, -113.5010678695086 53.57035620091272, -113.49926027770388 53.570357453000284, -113.49740321516596 53.5703631973986, -113.49551837329179 53.57036208567512, -113.4937184390754 53.57036571211909, -113.49202858097358 53.57037740274057, -113.49181517666221 53.56990545257384, -113.49182402260666 53.56884944252325, -113.491798791102 53.5673158761811, -113.49179781034871 53.56577647963954, -113.49178150527553 53.56424466156189, -113.49176191944112 53.56270429513389, -113.49175182443001 53.56103482019982, -113.49173285065314 53.559469071669504, -113.4918484569145 53.55902366244588, -113.49371025185839 53.55889384633359, -113.49555386069815 53.55889346401504, -113.50106150260409 53.55889871941887, -113.50298572520738 53.55889983862908, -113.50390644639901 53.558900223618345, -113.506571523307 53.560028748713044, -113.5084218068988 53.5608193020514, -113.51078609668988 53.56183650887014, -113.51230654891363 53.562482971132454)))"
1250,Westwood,"The character of Westwood has changed considerably in the second half of the 20th century. The area that includes Westwood was annexed by Edmonton in 1910. For several decades to follow, Westwood remained largely rural. Shortly after World War II, Westwo","MULTIPOLYGON (((-113.4922573373992 53.57661667098679, -113.49225541087753 53.575323014371335, -113.49226895981907 53.57354133395832, -113.49226543618838 53.57195296477064, -113.49228046073702 53.57090606873409, -113.49202858097358 53.57037740274057, -113.4937184390754 53.57036571211909, -113.49551837329179 53.57036208567512, -113.49740321516596 53.5703631973986, -113.49926027770388 53.570357453000284, -113.5010678695086 53.57035620091272, -113.50292307522493 53.57035975753645, -113.50294895112081 53.57083171782467, -113.50310692445684 53.57195430705547, -113.50313309631036 53.57354111867007, -113.50326611862995 53.573788919724926, -113.50345253441262 53.573993109952816, -113.50387612373528 53.574321239954884, -113.50450067191372 53.57474925909945, -113.5048424439013 53.57512887316957, -113.50489663895594 53.57538295733741, -113.5049157501703 53.57562904495388, -113.50490568753733 53.57671150338978, -113.50490517118467 53.57829522060812, -113.50489398755683 53.57944131885779, -113.50510686051143 53.581386246005, -113.49648753092386 53.58152850938313, -113.49212852957385 53.58147609827911, -113.49225660711274 53.580849764496975, -113.49226738912269 53.57944102919604, -113.49225500700018 53.5783043290865, -113.4922573373992 53.57661667098679)))"
4200,High Park,"High Park is a smaller neighbourhood laid out in a grid pattern and the lots are of a generous size. Development in the area occurred in the 1950s and 1960s. High Park is dominated by smaller, single-family bungalows -- limited commercial development is","MULTIPOLYGON (((-113.57797792726964 53.55362280652724, -113.57797729400832 53.55355227954217, -113.57797193024041 53.55259788352779, -113.57796505276416 53.551061156251144, -113.57982779469694 53.55104470828325, -113.58159056882346 53.55105347652667, -113.58335148153351 53.55104577970604, -113.58509233515994 53.55105088108296, -113.58686807100503 53.551049178805435, -113.58861714564249 53.55108271376651, -113.59036140643316 53.55111309189473, -113.59043535893895 53.5514024482243, -113.59043203431001 53.55261522214982, -113.59041237416848 53.55415709601683, -113.59041606506429 53.55596160698007, -113.59040176372008 53.55892685660638, -113.587235516906 53.558911714120235, -113.5841904722828 53.55888856109284, -113.5811602386963 53.558889152621106, -113.57964069884707 53.55889205135181, -113.57797298436704 53.55889339970619, -113.57798625191948 53.5558504700038, -113.57798271694612 53.55415623255453, -113.57797792726964 53.55362280652724)))"
3300,McQueen,"Named for Rev. G. D. McQueen (pioneer Presbyterian minister who arrived in Edmonton in 1887), McQueen's street network is modelled on the modified grid pattern. Single-family residences built during the 1950s surround a large central site that contains r","MULTIPOLYGON (((-113.56573093750976 53.55153022133234, -113.56582457487323 53.550983056390024, -113.5692245962011 53.55105614290999, -113.57796505276416 53.551061156251144, -113.57797193024041 53.55259788352779, -113.57797729400832 53.55355227954217, -113.57798271694612 53.55415623255453, -113.57798625191948 53.5558504700038, -113.57797298436704 53.55889339970619, -113.57268291073468 53.558837341989886, -113.56567644698806 53.55882317153472, -113.56569321954734 53.556225381772855, -113.56570518069302 53.5541507106888, -113.56573093750976 53.55153022133234)))"
2330,Highlands,"Highlands, annexed to the city in 1912, was named in a contest offering a 50-dollar prize. In 1911, real estate developers McGrath and Holgate built their mansions on Ada Boulevard (which was named after McGrath's wife). Other large, well-appointed house","MULTIPOLYGON (((-113.43677408570959 53.562933828799906, -113.4380025457599 53.56263748901039, -113.43771184616817 53.561932246422856, -113.43785391999634 53.561896118504734, -113.43897936095482 53.561624729748594, -113.43943390052473 53.56229212074619, -113.4416817315295 53.56559616282337, -113.44265545621808 53.56703383845713, -113.44363273223503 53.568472356164335, -113.44461256211035 53.5699084704508, -113.44487378754118 53.57036755265691, -113.44455079379951 53.57036641368182, -113.44297474294041 53.57035906470303, -113.44144696166114 53.570362531567945, -113.43988850025448 53.57037031423165, -113.43815409282632 53.570370759207364, -113.43647255791466 53.5703692783622, -113.43530256754526 53.57037245009278, -113.43377749643129 53.57036679392925, -113.43303319238895 53.570364517290194, -113.43225225369264 53.57036535345498, -113.42764965536597 53.570360888516454, -113.42611448215428 53.57036074737629, -113.424594037723 53.570357822986736, -113.42153793811129 53.57035467312108, -113.42001258356476 53.57035393798375, -113.41839446696454 53.57034991875031, -113.418398870528 53.56945933754018, -113.41839309583506 53.56856883323668, -113.41839174728806 53.56767414091403, -113.41839079994409 53.567255734229946, -113.41838652762078 53.56678372279281, -113.4183868014256 53.56589267850453, -113.41839146567195 53.56558580109891, -113.42002056671578 53.56540094095323, -113.42154717875263 53.565240471814775, -113.42307353247625 53.56509067190788, -113.42582462951943 53.564797081909674, -113.4290238927068 53.5644603004585, -113.42939800432158 53.564395913749074, -113.43157760084641 53.56360884360045, -113.43396299951134 53.56273302957785, -113.43449122926177 53.56263097015831, -113.4349132538669 53.5625911414325, -113.43544008556539 53.562567307728386, -113.43580796972873 53.5625279928359, -113.43606022459625 53.56254612040802, -113.43633655589292 53.56262576138081, -113.43654834433985 53.5627453256085, -113.43677408570959 53.562933828799906)))"
4140,Elmwood,Elmwood was originally part of the old Town of Jasper Place. The neighbourhood was almost entirely developed during the 1960s and most of the structures in Elmwood are single detached houses. With a freeway and two major arterials forming three of Elmwoo,"MULTIPOLYGON (((-113.61531596616004 53.5195544726013, -113.61079464388335 53.51956130920909, -113.60883326720372 53.51953605633195, -113.60545383294006 53.51953488604877, -113.60287825050072 53.519522469759465, -113.59961006892549 53.51951594237018, -113.59665273290202 53.51948744853926, -113.59668461372864 53.51685447105504, -113.59671689107482 53.51517275106796, -113.59672251490336 53.51191520168299, -113.60338998528273 53.51206911074653, -113.61190088902214 53.51209836147993, -113.6152469960468 53.51210780728721, -113.61531596616004 53.5195544726013)))"
4560,Thorncliff,"Thorncliffe is designed in an attempt to control urban sprawl and thereby preserve agricultural land, conserve energy and provide more efficient delivery of services. Multi-unit structures are located adjacent to the neighbourhood's collector road and ac","MULTIPOLYGON (((-113.61531596616004 53.5195544726013, -113.6152469960468 53.51210780728721, -113.62990998825912 53.51217442894543, -113.6300540698576 53.51489087316947, -113.63042877653217 53.51706112796621, -113.63058227635206 53.51835911052334, -113.63063757010836 53.51913779253983, -113.63059718026804 53.520123400751274, -113.6304686885556 53.52128898001922, -113.6273246801609 53.52089426022646, -113.62370572045768 53.52030720569935, -113.62176128347551 53.51997389304323, -113.62026646381126 53.51978019662662, -113.61879834069016 53.51964670127249, -113.61679662259891 53.51954263905296, -113.61531596616004 53.5195544726013)))"
