ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,User Category,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name
172,21,Overlanders,1150 Hermitage Road NW,Playground,Sand,Unknown,Unknown,Parks,2000/12/31,53.581145,-113.387412,"(53.58114537026016, -113.38741169462511)",POINT (-113.38741169462511 53.58114537026016),2590,OVERLANDERS
705,599,Falconer Park,Falconer Road NW,Playground,"Sand, Artificial Turf",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2006/12/31,53.463294,-113.588249,"(53.46329424971526, -113.58824945692763)",POINT (-113.58824945692763 53.46329424971526),5190,FALCONER HEIGHTS
494,3688,McConachie Park,1221 McConachie Boulevard NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2017/03/07,53.640109,-113.428416,"(53.64010884236456, -113.4284155199844)",POINT (-113.4284155199844 53.64010884236456),2522,MCCONACHIE
476,399,Sacred Heart School,9624 108 Avenue NW,Playground,Sand,Unknown,Senior (6 to 12 years),Parks,1993/12/31,53.554595,-113.486834,"(53.55459473120959, -113.48683428013813)",POINT (-113.48683428013813 53.55459473120959),1140,MCCAULEY
226,3463,Jackie Parker Park,50 Street - 44 Avenue NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,Senior (6 to 12 years),Parks,2009/12/31,53.484119,-113.421636,"(53.48411932768937, -113.42163642935023)",POINT (-113.42163642935023 53.48411932768937),6500,MILL WOODS GOLF COURSE
752,3378,Garneau School East,10925 87 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1996/12/31,53.522152,-113.512656,"(53.522152185984766, -113.51265550406009)",POINT (-113.51265550406009 53.522152185984766),5200,GARNEAU
501,608,Rideau School,42 Avenue - 106 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,2003/12/31,53.478006,-113.504893,"(53.47800617215946, -113.5048933370317)",POINT (-113.5048933370317 53.47800617215946),5360,RIDEAU PARK
579,133,Ecole Frere Antoine School,2850 Mill Woods Road West NW,Playground,Sand,Unknown,Junior (18 months to 5 years),Parks,2006/12/31,53.460023,-113.448815,"(53.46002279189431, -113.44881536172548)",POINT (-113.44881536172548 53.46002279189431),6750,TIPASKAN
310,64,Kildare Park,14224 74 Street NW,Playground,"Engineered Wood Fibre, Pour In Place Rubber",Wheelchair Accessible,Senior (6 to 12 years),Parks,1996/12/31,53.605506,-113.456206,"(53.60550556314128, -113.45620612555021)",POINT (-113.45620612555021 53.60550556314128),2400,KILDARE
573,1676,Blessed Kateri (Creek's Crossing),3807 41 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1997/12/31,53.475247,-113.400292,"(53.475246997868126, -113.40029176274226)",POINT (-113.40029176274226 53.475246997868126),6370,KINISKI GARDENS
496,612,Mount Pleasant Park / Pleasantview,58 Avenue - 105 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,2001/02/06,53.495359,-113.500242,"(53.49535859659926, -113.50024214655716)",POINT (-113.50024214655716 53.49535859659926),5320,PLEASANTVIEW
204,65,Kirkness School/Park,610 Kirkness Road NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1994/12/31,53.612013,-113.385125,"(53.612013109865586, -113.38512482335472)",POINT (-113.38512482335472 53.612013109865586),2430,KIRKNESS
758,1649,Beverly Heights Park,3511 117 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1973/12/31,53.569190,-113.395500,"(53.56919040907998, -113.39550021637103)",POINT (-113.39550021637103 53.56919040907998),2100,BEVERLY HEIGHTS
725,110,Carlisle Playground,14240 117 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1992/12/31,53.605026,-113.524065,"(53.60502599958192, -113.52406505362013)",POINT (-113.52406505362013 53.60502599958192),3090,CARLISLE
753,3675,Bessie Nichols School Playground,189 Hemingway Road NW,Playground,Pour In Place Rubber,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2016/12/31,53.486555,-113.671910,"(53.48655492945639, -113.67190966800828)",POINT (-113.67190966800828 53.48655492945639),4461,THE HAMPTONS
364,85,High Park School Playground,11031 154 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1993/12/31,53.556263,-113.586599,"(53.556262533862665, -113.58659894542505)",POINT (-113.58659894542505 53.556262533862665),4200,HIGH PARK
627,168,Brander Gardens Park,14815 56 AVENUE NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2010/12/31,53.493614,-113.575534,"(53.493614241478724, -113.5755341909268)",POINT (-113.5755341909268 53.493614241478724),5080,BRANDER GARDENS
228,3463,Jackie Parker Park,50 Street - 44 Avenue NW,Playground,Sand,Unknown,Junior (18 months to 5 years),Parks,2009/12/31,53.484446,-113.424247,"(53.4844463764894, -113.424247242642)",POINT (-113.424247242642 53.4844463764894),6500,MILL WOODS GOLF COURSE
3728,3780,Father Michael Mireau School,3010 Spence Wynd SW,Playground,"Engineered Wood Fibre, Pour In Place Rubber",Wheelchair Accessible,Senior (6 to 12 years),Parks,2021/10/22,53.420190,-113.465061,"(53.42018962962565, -113.46506134470025)",POINT (-113.46506134470025 53.42018962962565),6213,SUMMERSIDE
340,1643,Lorne Street Park (Tot Lot),11714 92 Street NW,Playground,Pour In Place Rubber,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,1999/12/31,53.562944,-113.482197,"(53.562944040232736, -113.48219700074931)",POINT (-113.48219700074931 53.562944040232736),1010,ALBERTA AVENUE
623,281,Glenwood Community Playground,16430 97 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,2000/12/31,53.535686,-113.605084,"(53.53568603823973, -113.60508417705084)",POINT (-113.60508417705084 53.53568603823973),4180,GLENWOOD
138,982,King Edward Academy,8525 101 Street NW,Playground,Sand,Unknown,Senior (6 to 12 years),Parks,2012/08/21,53.521280,-113.489713,"(53.521280180438126, -113.48971293974772)",POINT (-113.48971293974772 53.521280180438126),5480,STRATHCONA
854,3604,Elizabeth Finch School Playground,15923 139 St NW,Playground,"Engineered Wood Fibre, Pour In Place Rubber, Sand",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2012/12/31,53.620009,-113.559637,"(53.6200088801922, -113.55963741023751)",POINT (-113.55963741023751 53.6200088801922),3470,CARLTON
820,3703,Nellie Carlson School Playground,4132 Mactaggart Drive NW,Playground,Engineered Wood Fibre,Unknown,Junior/Senior (18 months to 12 years),Parks,2019/07/05,53.443013,-113.557973,"(53.44301260565405, -113.55797344633038)",POINT (-113.55797344633038 53.44301260565405),5477,MACTAGGART
575,292,Crestwood Community Playground,14325 96 Avenue NW,Playground,Pour In Place Rubber,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2016/12/31,53.533316,-113.569752,"(53.53331595510014, -113.56975233052054)",POINT (-113.56975233052054 53.53331595510014),3140,CRESTWOOD
389,3633,Hollick Kenyon Park,Hollick Kenyon Rd & 162 Ave,Playground,Pour In Place Rubber,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2013/12/31,53.621367,-113.420133,"(53.621367041753686, -113.42013282089158)",POINT (-113.42013282089158 53.621367041753686),2340,HOLLICK-KENYON
663,118,Caernarvon Park Playground,14830 118 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1990/12/31,53.610940,-113.528188,"(53.61093985213657, -113.52818768337673)",POINT (-113.52818768337673 53.61093985213657),3060,CAERNARVON
343,285,North Glenora Community League Playground,13637 109A Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1998/12/31,53.554981,-113.557348,"(53.55498069643909, -113.55734772609878)",POINT (-113.55734772609878 53.55498069643909),3310,NORTH GLENORA
