Year,attend_no,attend,AbEd_ID,EPSB_ID,School_Nam,Sch_Type,Grades,Sch_Addres,Sch_City,Sch_Postal,School_Web,School_EMa,School_Pho,Latitude,Longitude,Sector,epsb_ward,max_year,Catchment Polygon
2021,,,7050,50,Vimy Ridge Academy,JS,Gr 7-12,8205 - 90 Avenue NW,Edmonton,T6C1N8,http://vimyridge.epsb.ca,vimyridge@epsb.ca,(780) 465-5461,-113.4527037,53.52409527,South Central,EPSB WARD G,TRUE,
2021,,,7186,186,Malmo,EL,K to Gr 6,4716 - 115 Street NW,Edmonton,T6H3N8,http://malmo.epsb.ca,malmo@epsb.ca,(780) 434-1362,-113.5291997,53.48522333,South Central,EPSB WARD F,TRUE,
2021,,,7090,90,Metro Continuing Ed.,SP,,8205 -  90 Avenue NW,Edmonton,T6C1N8,,,,0,0,South Central,EPSB WARD G,TRUE,
2021,,,7150,150,Mill Creek,EL,K to Gr 6,9735 - 80 Avenue NW,Edmonton,T6E1S8,http://millcreek.epsb.ca,millcreek@epsb.ca,(780) 433-5746,-113.4812837,53.5154334,South Central,EPSB WARD G,TRUE,
2021,,,7524,152,Mount Pleasant,EL,K to Gr 6,10541 - 60A Avenue NW,Edmonton,T6H1K4,http://mountpleasant.epsb.ca,mpleasant@epsb.ca,(780) 434-6766,-113.5039365,53.49589576,South Central,EPSB WARD F,TRUE,
2021,,,7066,66,Old Scona,SR,Gr 10-12,10523 - 84 Avenue NW,Edmonton,T6E2H5,http://oldscona.epsb.ca,oldscona@epsb.ca,(780) 433-0627,-113.5019757,53.51977537,South Central,EPSB WARD F,TRUE,
2021,,,7164,164,Queen Alexandra,EL,K to Gr 6,7730 - 106 Street NW,Edmonton,T6E4W3,http://queenalexandra.epsb.ca,queenalex@epsb.ca,(780) 439-2516,-113.5045827,53.5138132,South Central,EPSB WARD F,TRUE,
2021,,,7772,772,Tevie Miller Hrtg Sc,SP,K to Gr 6,6240-113 Street NW,Edmonton,T6H3L2,http://teviemillerheritage.epsb.ca,heritage@epsb.ca,(780) 436-0465,-113.5243323,53.49895709,South Central,EPSB WARD F,TRUE,
2021,,,,0,Ellerslie Campus South,EL,K to Gr 6,,,,,,,0,0,Southeast 2,EPSB WARD I,TRUE,
2021,,,7724,724,L. S. at Blue Quill,SP,Gr 10-12,360 Saddleback Road NW,Edmonton,T6J4R7,http://outreach.epsb.ca,lsbluequill@epsb.ca,(780) 413-0263,-113.5307169,53.46007122,Southwest 1,EPSB WARD F,TRUE,
