ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,Owner,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name
12504,631,Queen Alex Spray Park,10722 - 73 AVENUE NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2010/09/01,53.509733250402505,-113.50783327300591,"(53.509733250402505, -113.50783327300591)",POINT (-113.50783327300591 53.509733250402505),5330,QUEEN ALEXANDRA
708289,3677,Cy Becker Spray Park,270 Cy Becker Boulevard NW,Spray Park,Concrete,Wheelchair Accessible,Parks,Parks,2018/09/14,53.634240728603984,-113.40702577234134,"(53.634240728603984, -113.40702577234134)",POINT (-113.40702577234134 53.634240728603984),2611,CY BECKER
12359,728,King Edward Spray Park,7708 - 85 STREET NW T6C4K9,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2006/09/01,53.513638813742986,-113.46090230560588,"(53.513638813742986, -113.46090230560588)",POINT (-113.46090230560588 53.513638813742986),6360,KING EDWARD PARK
12513,636,Royal Gardens Spray Park,4030 117 Street NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2001/09/13,53.47809655258378,-113.53565943994903,"(53.47809655258378, -113.53565943994903)",POINT (-113.53565943994903 53.47809655258378),5430,ROYAL GARDENS
708360,3684,York Spray Park,5825 140 Avenue NW,Spray Park,Concrete,Wheelchair Accessible,Parks,Parks,2018/09/14,53.60206178996983,-113.43129570554564,"(53.60206178996983, -113.43129570554564)",POINT (-113.43129570554564 53.60206178996983),2720,YORK
12576,826,Gallagher Spray Park,9325 - 97 AVENUE NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2011/12/31,53.53591871918118,-113.47181436990076,"(53.53591871918118, -113.47181436990076)",POINT (-113.47181436990076 53.53591871918118),6070,CLOVERDALE
508107,3628,Highlands Spray Park,11333 62 Street NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2012/09/01,53.566970728683714,-113.43356215398418,"(53.566970728683714, -113.43356215398418)",POINT (-113.43356215398418 53.566970728683714),2330,HIGHLANDS
540455,3651,West Meadowlark Community Spray Park,9311 165 Street NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2013/09/01,53.529445314151324,-113.60691266983608,"(53.529445314151324, -113.60691266983608)",POINT (-113.60691266983608 53.529445314151324),4590,WEST MEADOWLARK PARK
679258,3708,Rio Terrace Spray Deck,7608 - 154 STREET NW T5R1R7,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2017/12/31,53.508253014590196,-113.58978136218522,"(53.508253014590196, -113.58978136218522)",POINT (-113.58978136218522 53.508253014590196),4430,RIO TERRACE
12231,2783,Grovenor Spray Park,14325 - 104 AVENUE NW T5N0W9,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2011/09/01,53.54581710779951,-113.56804946114772,"(53.54581710779951, -113.56804946114772)",POINT (-113.56804946114772 53.54581710779951),3210,GROVENOR
12497,1060,Mill Woods Spray,2730 - 66 STREET NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2014/08/01,53.45508354726353,-113.43609176676279,"(53.45508354726353, -113.43609176676279)",POINT (-113.43609176676279 53.45508354726353),6510,MILL WOODS PARK
12361,730,Mary Finlay Spray Park,10150 - 80 STREET NW T6A3H8,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2011/09/01,53.54328742485277,-113.45138844086034,"(53.54328742485277, -113.45138844086034)",POINT (-113.45138844086034 53.54328742485277),6230,FOREST HEIGHTS
449010,3615,Queen Elizabeth Spray Park,9100 Walterdale Hill NW,Spray Park,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2014/12/31,53.52721087886793,-113.50748098094603,"(53.52721087886793, -113.50748098094603)",POINT (-113.50748098094603 53.52721087886793),5390,RIVER VALLEY WALTERDALE
745514,3722,North Glenora Spray Deck,13637 109A Avenue NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2019/08/07,53.55506083528957,-113.55734015061265,"(53.55506083528957, -113.55734015061265)",POINT (-113.55734015061265 53.55506083528957),3310,NORTH GLENORA
12287,3520,Ellerslie Spray Park,Edwards Drive - 5 Ave SW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2011/12/31,53.42891554008855,-113.45866658685215,"(53.42891554008855, -113.45866658685215)",POINT (-113.45866658685215 53.42891554008855),6211,ELLERSLIE
542991,3653,Rosenthal Spray Park,1070 Rosenthal Blvd NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2015/10/02,53.51715167364844,-113.69888351701036,"(53.51715167364844, -113.69888351701036)",POINT (-113.69888351701036 53.51715167364844),4750,ROSENTHAL
