Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Florida Panthers,27.5,6,6,0,0,12,1,27,12,0,0,2.39,-0.11,4.5,2,5,25,20,4,27,85.19,1,1,10.8,11.8,210,12.9,189,0.937,0
2,Carolina Hurricanes,27.9,5,5,0,0,10,1,22,8,0,0,2.13,-0.67,4.4,1.6,6,19,31.58,2,20,90,0,0,8,8,175,12.6,149,0.946,0
3,Edmonton Oilers,29.4,5,5,0,0,10,1,23,13,1,0,1.94,-0.26,4.6,2.6,8,17,47.06,2,17,88.24,1,0,13,8.6,168,13.7,188,0.931,0
4,St. Louis Blues,28.8,5,5,0,0,10,1,25,11,0,0,1.83,-0.97,5,2.2,6,16,37.5,1,16,93.75,1,0,9,10.2,174,14.4,170,0.935,1
5,Minnesota Wild,29.4,6,5,1,0,10,0.833,20,18,0,0,0.53,0.2,3.33,3,4,22,18.18,8,26,69.23,0,0,13.3,12,218,9.2,167,0.892,0
6,Washington Capitals,29.1,6,4,0,2,10,0.833,26,16,0,0,1.33,-0.33,4.33,2.67,3,21,14.29,5,17,70.59,2,2,9,10.7,183,14.2,165,0.903,0
7,Buffalo Sabres,28.3,6,4,1,1,9,0.75,18,11,1,0,0.81,-0.53,3,1.83,5,18,27.78,2,16,87.5,0,0,6,6.7,198,9.1,187,0.941,0
8,Calgary Flames,28,6,4,1,1,9,0.75,21,15,0,0,1.31,0.31,3.5,2.5,5,17,29.41,4,19,78.95,1,1,9.3,9,212,9.9,177,0.915,1
9,New York Rangers,26.2,7,4,2,1,9,0.643,15,18,0,0,-0.79,-0.36,2.14,2.57,3,26,11.54,5,23,78.26,0,1,10,10.9,189,7.9,220,0.918,0
10,San Jose Sharks,28.6,6,4,2,0,8,0.667,20,14,0,0,0.6,-0.41,3.33,2.33,5,20,25,2,14,85.71,1,1,8,10,166,12,168,0.917,1
11,Columbus Blue Jackets,26,6,4,2,0,8,0.667,19,15,0,0,0.3,-0.37,3.17,2.5,5,19,26.32,4,21,80.95,0,0,9.7,9,160,11.9,204,0.926,0
12,Pittsburgh Penguins,28.2,6,3,1,2,8,0.667,24,16,0,1,0.66,-0.51,4,2.67,4,21,19.05,1,15,93.33,0,0,8,10,198,12.1,176,0.909,0
13,New York Islanders,29.5,6,3,2,1,7,0.583,15,15,0,0,-0.14,-0.14,2.5,2.5,2,16,12.5,3,16,81.25,0,0,7.7,7.7,173,8.7,210,0.929,2
14,Vancouver Canucks,26.8,7,3,3,1,7,0.5,19,20,1,1,-0.03,0.11,2.71,2.86,6,26,23.08,4,18,77.78,0,0,9.7,13.1,227,8.4,224,0.911,0
15,Detroit Red Wings,26.9,6,3,2,1,7,0.583,20,21,0,0,-0.75,-0.59,3.33,3.5,4,25,16,6,24,75,0,0,14.8,14.2,189,10.6,200,0.895,0
16,Winnipeg Jets,27.7,6,3,2,1,7,0.583,24,22,0,0,0.74,0.41,4,3.67,5,20,25,10,25,60,1,1,12.2,12.2,168,14.3,201,0.891,0
17,Tampa Bay Lightning,28.9,7,3,3,1,7,0.5,21,26,0,1,-0.26,0.6,3,3.71,3,22,13.64,4,24,83.33,0,0,9.9,9.6,230,9.1,207,0.874,0
18,Nashville Predators,27.2,7,3,4,0,6,0.429,20,20,0,0,0.25,0.25,2.86,2.86,7,22,31.82,4,23,82.61,0,0,8.6,8.3,215,9.3,207,0.903,0
19,Boston Bruins,28,4,3,1,0,6,0.75,14,11,0,0,1.47,0.72,3.5,2.75,2,9,22.22,2,14,85.71,0,0,9.3,6.8,140,10,115,0.904,0
20,Dallas Stars,30.4,6,3,3,0,6,0.5,11,15,1,0,-0.5,0,1.83,2.5,3,17,17.65,3,20,85,0,0,10.7,8.2,172,6.4,199,0.925,0
21,New Jersey Devils,26.2,5,3,2,0,6,0.6,14,15,0,0,-0.25,-0.05,2.8,3,3,13,23.08,6,18,66.67,0,0,13.8,13.8,157,8.9,137,0.891,0
22,Anaheim Ducks,27.5,7,2,4,1,5,0.357,20,24,0,0,0.36,0.93,2.86,3.43,6,21,28.57,4,26,84.62,0,0,12.9,10.3,212,9.4,245,0.902,0
23,Philadelphia Flyers,28.5,4,2,1,1,5,0.625,18,12,0,1,1.96,0.71,4.5,3,4,11,36.36,3,16,81.25,1,1,16,16,116,15.5,134,0.91,0
