,0
0,20000.0
1,100000.0
2,155000.0
3,215000.0
4,157000.0
5,208000.0
6,120000.0
7,21000.0
8,120000.0
9,44000.0
10,220000.0
11,29000.0
12,150000.0
13,39000.0
14,127000.0
15,68000.0
16,168000.0
17,160000.0
18,50000.0
19,195000.0
20,30000.0
21,222000.0
22,142000.0
23,210000.0
24,220000.0
25,70000.0
26,60000.0
27,40000.0
28,145000.0
29,440000.0
30,67000.0
31,0.0
32,25000.0
33,77000.0
34,161000.0
35,140000.0
36,200000.0
37,44000.0
38,134000.0
39,640000.0
40,90000.0
41,320000.0
42,138000.0
43,135000.0
44,200000.0
45,88000.0
46,110000.0
47,410000.0
48,50000.0
49,47000.0
50,120000.0
51,150000.0
52,195000.0
53,60000.0
54,110000.0
55,132000.0
56,48000.0
57,165000.0
58,64000.0
59,40000.0
60,39000.0
61,50000.0
62,45500.0
63,65000.0
64,80000.0
65,78000.0
66,140000.0
67,45000.0
68,240000.0
69,95000.0
70,230000.0
71,170000.0
72,430000.0
73,560000.0
74,342000.0
75,465000.0
76,49000.0
77,64750.0
78,125000.0
79,110000.0
80,385000.0
81,14000.0
82,187000.0
83,44000.0
84,490000.0
85,200000.0
86,115000.0
87,90000.0
88,25000.0
89,150000.0
90,180000.0
91,80000.0
92,44000.0
93,170000.0
94,42000.0
95,148000.0
96,142000.0
97,89300.0
98,126000.0
99,130000.0
100,210000.0
101,5000.0
102,46000.0
103,192000.0
104,90000.0
105,30000.0
106,90000.0
107,90000.0
108,50000.0
109,137500.0
110,30000.0
111,56000.0
112,345000.0
113,330000.0
114,42000.0
115,135000.0
116,30000.0
117,15000.0
118,317000.0
119,54000.0
120,150000.0
121,38000.0
122,46000.0
123,96000.0
124,220000.0
125,225000.0
126,160000.0
127,174000.0
128,390000.0
129,350000.0
130,500000.0
131,20000.0
132,39000.0
133,130000.0
134,45000.0
135,185000.0
136,40000.0
137,85000.0
138,120000.0
139,868000.0
140,260000.0
141,70000.0
142,46000.0
143,450000.0
144,60000.0
145,154000.0
146,43000.0
147,165000.0
148,53000.0
149,8000.0
150,170000.0
151,150000.0
152,99000.0
153,105000.0
154,0.0
155,176000.0
156,173000.0
157,27000.0
158,55000.0
159,320000.0
160,460000.0
161,560000.0
162,20000.0
163,213000.0
164,60000.0
165,120000.0
166,120000.0
167,35000.0
168,75000.0
169,42000.0
170,174000.0
171,293000.0
172,105000.0
173,425000.0
174,77000.0
175,48000.0
176,430000.0
177,70000.0
178,4000.0
179,323000.0
180,99000.0
181,245000.0
182,8000.0
183,0.0
184,225000.0
185,200000.0
186,290000.0
187,59000.0
188,310000.0
189,300000.0
190,35000.0
191,50000.0
192,85000.0
193,56500.0
194,550000.0
195,111800.0
196,48000.0
197,70000.0
198,21000.0
199,222000.0
200,46000.0
201,80000.0
202,220000.0
203,240000.0
204,25000.0
205,300000.0
206,190000.0
207,155000.0
208,33000.0
209,430000.0
210,0.0
211,104000.0
212,280000.0
213,140000.0
214,320000.0
215,50000.0
216,320000.0
217,124000.0
218,205000.0
219,150000.0
220,100000.0
221,310000.0
222,38000.0
223,50000.0
224,22000.0
225,30000.0
226,220000.0
227,350000.0
228,75000.0
229,60000.0
230,137000.0
